Description,License Requirements,Reporting Requirements,List Based License Exceptions,Special Conditions for STA,List of Items Controlled
"
1A202  Composite structures, other than
those controlled by 1A002, in the form of
tubes and having both of the following
characteristics (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E201
('use') and 1E202 ('development' and
'production') for technology for items
controlled by this entry.  (2) Also see
ECCNs 1A002, 1C010, 1C210, 9A010, and
9A110.  (3) 'Composite' structures






'specially designed' or prepared for use in
separating uranium isotopes are subject to the
export licensing authority of the Nuclear
Regulatory Commission (see 10 CFR part
110).
Related Definitions:  N/A
Items:


a.  An inside diameter of between 75 mm and
400 mm; and
b.  Made with any of the 'fibrous or filamentary
materials' specified in 1C010.a or .b or 1C210.a
or with carbon prepreg materials specified in
1C210.c.



"
"
1A225  Platinized catalysts 'specially
designed' or prepared for promoting the
hydrogen isotope exchange reaction between
hydrogen and water for the recovery of
tritium from heavy water or for the
production of heavy water.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E201
('use') and 1E202 ('development' and
'production') for technology for items
controlled by this entry.  (2) Equipment
'specially designed' or prepared for the
production of heavy water is subject to the
export licensing authority of the Nuclear








Regulatory Commission (see 10 CFR part
110).
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1A226  Specialized packings, which may be
used in separating heavy water from ordinary
water, having both of the following
characteristics (see List of Items Controlled).

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E201
('use') and 1E202 ('development' and
'production') for technology for items
controlled by this entry.  (2) Equipment
'specially designed' or prepared for the
production of heavy water is subject to the
export licensing authority of the Nuclear
Regulatory Commission (see 10 CFR part
110).
Related Definitions:  N/A
Items:


a.  Made of phosphor bronze mesh chemically
treated to improve wettability; and


b. Designed to be used in vacuum distillation
towers.









"
"
1A227  High-density (lead glass or other)
radiation shielding windows, having all of the
following characteristics (see List of Items
Controlled), and 'specially designed' frames
therefor.

","[[""NP applies to entire entry"",""NP Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCNs 1E201
('use') and 1E202 ('development' and
'production') for technology for items
controlled by this entry.  (2) Equipment
'specially designed' or prepared for nuclear
reactors and reprocessing facilities is subject
to the export licensing authority of the
Nuclear Regulatory Commission (see 10
CFR part 110).
Related Definitions:  In 1A227.a, the term
'cold area' means the viewing area of the
window exposed to the lowest level of
radiation in the design application.
Items:


a.  A 'cold area' greater than 0.09 m2;


b.  A density greater than 3 g/cm3; and


c.  A thickness of 100 mm or greater.











"
"
1A290  Depleted uranium (any uranium
containing less than 0.711% of the isotope
U-235) in shipments of more than 1,000
kilograms in the form of shielding contained
in X-ray units, radiographic exposure or
teletherapy devices, radioactive
thermoelectric generators, or packaging for
the transportation of radioactive materials.

","[[""NS applies to entire entry"",""NS Column 1""],[""RS applies to entire entry"",""RS Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: (1) This entry does not
control depleted uranium in fabricated forms
for use in munitions.  See 22 CFR part 121
for depleted uranium 'subject to the ITAR'
(2) Depleted uranium that is not fabricated
for use in munitions or fabricated into
commodities solely to take advantage of its
high density (e.g., aircraft, ship, or other
counterweights) or in the forms listed in this
entry are subject to the export licensing
authority of the Nuclear Regulatory
Commission.  (See 10 CFR part 110.) (3)
'Natural uranium' or 'depleted uranium' or
thorium in the form of metal, alloy, chemical
compound or concentrate and any other
material containing one or more of the
foregoing are subject to the export licensing
authority of the Nuclear Regulatory
Commission.  (See 10 CFR part 110.)


Related Definitions: N/A
Items:








The list of items controlled is contained in the
ECCN heading.



"
"
1A607  Military dissemination 'equipment'
for riot control agents, military detection and
protection 'equipment' for toxicological
agents (including chemical, biological, and
riot control agents), and related commodities
(see List of Items Controlled).

","[[""NS applies to entire entry\rexcept 1A613.y"",""NS Column 1""],[""RS applies to entire entry\rexcept 1A613.y"",""RS Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry,\rexcept 1A613.y"",""See § 746.1(b) for\rUN controls""]]",,"
List Based License Exceptions (See Part 740
for a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

","
Special Conditions for STA


STA:  Paragraph (c)(2) of License Exception
STA (§ 740.20(c)(2) of the EAR) may
not be used for any item in 1A607.

","
List of Items Controlled


Related Controls:  (1) Vaccines identified in
ECCN 1C991 are not controlled by this
ECCN.  (2) See 22 CFR § 121.1 (USML),
Category XIV(h), for vaccines that are
subject to the ITAR.  (3) Protection and
detection equipment and related items
identified in ECCN 1A004, 1A995, or 2B351
are not controlled by this ECCN.  (4) See 22
CFR § 121.1 (USML), Category XIV(f), for
dissemination, detection and protection






equipment that is subject to the ITAR.  (5)
See ECCN 0A919 for 'military
commodities' located and produced outside
the United States that incorporate more than
a de minimis amount of US-origin '600
series' controlled content.


Related Definitions: N/A
Items:


a. through d. [Reserved]


e.  'Equipment' 'specially designed' for
military use and for the dissemination of any of
the riot control agents controlled in ECCN
1C607.a.


f.  Protection 'equipment' (including air
conditioning units, protective coatings, and
protective clothing):


f.1. Not controlled by USML Category
XIV(f); and


f.2. 'Specially designed' for military use and
for defense against:


f.2.a. Materials specified by USML
Category XIV (a) or (b); or


f.2.b. Riot control agents controlled in
1C607.a.


g.  Decontamination 'equipment':


g.1. Not controlled by USML Category
XIV(f); and


g.2. 'Specially designed' for military use and
for decontamination of objects contaminated
with materials controlled by USML Category
XIV(a) or (b).


h.  'Equipment':


h.1. Not controlled by USML Category
XIV(f); and


h.2. 'Specially designed' for military use and
for the detection or identification of:








h.2.a. Materials specified by USML
Category XIV(a) or (b); or


h.2.b. Riot control agents controlled by
ECCN 1C607.a.


i.  [Reserved]


j.  'Equipment' 'specially designed' to:


j.1.  Interface with a detector, shelter,
vehicle, vessel, or aircraft controlled by the
USML or a '600 series' ECCN; and


j.2.  Collect and process samples of articles
controlled in USML Category XIV(a) or (b).


k.  Medical countermeasures that are 'specially
designed' for military use (including pre- and
post-treatments, antidotes, and medical
diagnostics) and 'specially designed' to counter
chemical agents controlled by the USML
Category XIV(a).


Note:  Examples of 'equipment' controlled
by this entry are barrier and non-barrier creams
and filled autoinjectors (e.g., combopens where
one injector contains 2-PAM and the other
atropine) if 'specially designed' to counter such
agents.


l. through w. [Reserved]


x.  'Parts,' 'components,' 'accessories,' and
'attachments' that are 'specially designed' for a
commodity controlled by ECCN 1A607.e, .f, .g,
.h, or .j or for a defense article controlled by
USML Category XIV(f) and that are not
enumerated or otherwise described elsewhere in
the USML.



"
"
1A613  Armored and protective 'equipment'
and related commodities, as follows (see List
of Items Controlled).

","[[""CC applies to entire entry"",""CC Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  $1500
GBS:  N/A
CIV:  N/A

","
Special Conditions for STA


STA: Paragraph (c)(2) of License
Exception STA (§ 740.20(c)(2) of
the EAR) may not be used for any
item in 1A613.

","
List of Items Controlled


Related Controls:  (1) Defense articles,
such as materials made from classified
information, that are controlled by
USML Category X or XIII of the ITAR,
and technical data (including software)
directly related thereto, are 'subject to
the ITAR.'  (2) See ECCN 0A919 for
foreign-made 'military commodities'
that incorporate more than a de minimis
amount of US-origin '600 series'
controlled content. (3) See ECCN
9A610.g for anti-gravity suits
('G-suits') and pressure suits capable of
operating at altitudes higher than 55,000
feet above sea level.
Related Definitions:  References to 'NIJ
Type' protection are to the National
Institute of Justice Classification guide at
NIJ Standard 0101.06, Ballistic
Resistance of Body Armor, and NIJ
Standard 0108.01, Ballistic Resistant
Protective Materials.








Items:


a.  Metallic or non-metallic armored plate
'specially designed' for military use and not
controlled by the USML.


Note to paragraph a: For controls on
body armor plates, see ECCN 1A613.d.2 and
USML Category X(a)(1).


b. Shelters 'specially designed' to:


b.1.  Provide ballistic protection for
military systems; or


b.2. Protect against nuclear, biological,
or chemical contamination.


c. Military helmets (other than helmets
controlled under 1A613.y.1) providing less than
NIJ Type IV protection and 'specially designed'
helmet shells, liners, or comfort pads therefor.


Note 1:  See ECCN 0A979 for controls on
police helmets.


Note 2: See USML Category X(a)(5) and
(a)(6) for controls on other military helmets.


d. Body armor and protective garments, as
follows:


d.1. Soft body armor and protective
garments manufactured to military standards
or specifications, or to their equivalents, that
provide ballistic protection equal to or less
than NIJ level III (NIJ 0101.06, July 2008);
or


Note: For 1A613.d.1, military standards
or specifications include, at a minimum,
specifications for fragmentation protection.


d.2.  Hard body armor plates that provide
ballistic protection equal to NIJ level III (NIJ
0101.06, July 2008) or national equivalents.


Note:  See ECCN 1A005 for controls on
soft body armor not manufactured to military






standards or specifications and hard body
armor plates providing less than NIJ level III
protection. For body armor providing NIJ
Type IV protection or greater, see USML
Category X(a)(1).


e.   Atmospheric diving suits 'specially
designed' for rescue operations for
submarines controlled by the USML or the
CCL.


f. Other personal protective 'equipment'
'specially designed' for military applications
not controlled by the USML, not elsewhere
controlled on the CCL.


g. to w.  [Reserved]


x. 'Parts,' 'components,' 'accessories,'
and 'attachments' that are 'specially
designed' for a commodity controlled by
ECCN 1A613 (except for 1A613.y) or an
article enumerated in USML Category X,
and not controlled elsewhere in the USML.


Note:   Forgings, castings, and other
unfinished products, such as extrusions and
machined bodies, that have reached a stage
in manufacturing where they are clearly
identifiable by mechanical properties,
material composition, geometry, or function
as commodities controlled by ECCN 1A613.x
are controlled by ECCN 1A613.x.


y.  Other commodities as follows:


y.1  Conventional military steel
helmets.


N.B. to paragraph y.1:  For other
military helmet 'components' or
'accessories,' see the relevant ECCN in the
CCL or USML Entry.


y.2  [Reserved]



"
"
1A984  Chemical agents, including tear gas
formulation containing 1 percent or less of
orthochlorobenzalmalononitrile (CS), or 1






percent or less of chloroacetophenone (CN),
except in individual containers with a net
weight of 20 grams or less; liquid pepper
except when packaged in individual
containers with a net weight of 3 ounces (85.05
grams) or less; smoke bombs; non-irritant
smoke flares, canisters, grenades and charges;
and other pyrotechnic articles (excluding
shotgun shells) having dual military and
commercial use, and 'parts' and
'components' 'specially designed' therefor,
n.e.s.

","[[""CC applies to entire entry"",""CC Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1A985  Fingerprinting powders, dyes, and
inks.

","[[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: See 3A981.
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1A995  Protective and detection equipment
not 'specially designed' for military use and
not controlled by ECCN 1A004 or ECCN
2B351, as follows (see List of Items
Controlled), and 'parts' and 'components'
not 'specially designed' for military use and
not controlled by ECCN 1A004 or ECCN","[[""NS applies to entire entry"",""NS Column 2""],[""MTappliestoentireentry,\rexcept 1B001.d.4, e and f.\rNote:\rMTappliesto\requipmentin1B001.dthat\rmeet or exceed the parameters\rof 1B101."",""MT Column 1""],[""NPappliestofilament\rwindingmachinesdescribed\rin1B001.athatarecapable\rof winding cylindrical rotors\rhaving a diameter between 75\rmm (3 in) and 400 mm (16 in)\rand lengths of 600 mm (24 in)\ror greater;\rANDcoordinatingand\rprogrammingcontrolsand\rprecisionmandrelsforthese\rfilament winding machines"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,,,
"
2B351 therefor.

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: See ECCNs 1A004,
2B351, and 2B352.
Related Definitions: N/A
Items:








a.  Personal radiation monitoring dosimeters;


b. Equipment limited by design or function to
protect against hazards specific to civil
industries, such as mining, quarrying, agriculture,
pharmaceuticals, medical, veterinary,
environmental, waste management, or to the food
industry.


Note: This entry (1A995) does not
control items for protection against chemical
or biological agents that are consumer


goods, packaged for retail sale or personal
use, or medical products, such as latex exam
gloves, latex surgical gloves, liquid
disinfectant soap, disposable surgical
drapes, surgical gowns, surgical foot covers,
and surgical masks.  Such items are
classified as EAR99.



"
"
1A999 Specific processing equipment, n.e.s.,
as follows (see List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 2""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:








a. Radiation detection, monitoring and
measurement equipment, n.e.s.;


b. Radiographic detection equipment such as
x-ray converters, and storage phosphor image
plates.




B.  TEST, INSPECTION AND
'PRODUCTION EQUIPMENT'



"
"
1B001  Equipment for the production or
inspection of 'composite' structures or
laminates controlled by 1A002 or 'fibrous or
filamentary  materials' controlled by 1C010,
as follows (see List of Items Controlled), and
'specially designed' 'components' and
'accessories' therefor.

","[[""NS applies to entire entry"",""NS Column 2""],[""MT applies to equipment\rforthe\u201Cproduction\u201Dof\rrocket propellants."",""MT Column 1""],[""RS applies to 1B018.a."",""RS Column 2""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry."",""See § 746.1(b) for\rUN controls.""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A for MT and for 1B001.a;
$5000 for all other items
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) See ECCN 1D001 for
software for items controlled by this entry
and see ECCNs 1E001 ('development' and
'production') and 1E101 ('use') for
technology for items controlled by this entry.
(2) Also see ECCNs 1B101 and 1B201.
Related Definitions:  N/A
Items:


a.  Filament winding machines, of which the
motions for positioning, wrapping and winding
fibers are coordinated and programmed in three
or more ‘primary servo positioning’ axes,
'specially designed' for the manufacture of
'composite' structures or laminates, from
'fibrous or filamentary materials';


b. ‘Tape laying machines’, of which the motions
for positioning and laying tape are coordinated
and programmed in five or more ‘primary servo
positioning’ axes, 'specially designed' for the
manufacture of 'composite' airframe or missile
structures;


Technical Note: For the purposes of
1B001.b, ‘tape-laying machines’ have the ability
to lay one or more ‘filament bands’ limited to
widths greater than 25.4 mm and less than or
equal to 304.8 mm, and to cut and restart
individual ‘filament band’ courses during the
laying process.


c.  Multidirectional, multidimensional weaving
machines or interlacing machines, including
adapters and modification kits, 'specially
designed' or modified for weaving, interlacing or
braiding fibers for 'composite' structures;












Technical Note: For the purposes of
1B001.c the technique of interlacing includes
knitting.


d.  Equipment 'specially designed' or adapted
for the production of reinforcement fibers, as
follows:


d.1.  Equipment for converting polymeric
fibers (such as polyacrylonitrile, rayon, pitch or
polycarbosilane) into carbon fibers or silicon
carbide fibers, including special equipment to
strain the fiber during heating;


d.2.  Equipment for the chemical vapor
deposition of elements or compounds, on heated
filamentary substrates, to manufacture silicon
carbide fibers;


d.3.  Equipment for the wet-spinning of
refractory ceramics (such as aluminum oxide);


d.4.  Equipment for converting aluminum
containing precursor fibers into alumina fibers by
heat treatment;


e.  Equipment for producing prepregs controlled
by 1C010.e by the hot melt method;


f. Non-destructive inspection equipment
'specially designed' for 'composite' materials,
as follows:


f.1. X-ray tomography systems for three
dimensional defect inspection;


f.2.  Numerically controlled ultrasonic
testing machines of which the motions for
positioning transmitters or receivers are
simultaneously coordinated and programmed in
four or more axes to follow the three dimensional
contours of the 'part' or 'component' under
inspection;


g.  Tow-placement machines, of which the
motions for positioning and laying tows are
coordinated and programmed in two or more
‘primary servo positioning’ axes, 'specially
designed' for the manufacture of 'composite'
airframe or missile structures.








Technical Note to 1B001.g:  For the
purposes of 1B001.g, ‘tow-placement machines’
have the ability to place one or more ‘filament
bands’ having widths less than or equal to 25.4
mm, and to cut and restart individual ‘filament
band’ courses during the placement process..


Technical Notes for 1B001:


1.  For the purpose of 1B001, ‘primary servo
positioning’ axes control, under computer
program direction, the position of the end
effector (i.e., head) in space relative to the work
piece at the correct orientation and direction to
achieve the desired process.


2. For the purposes of 1B001, a ‘filament band’
is a single continuous width of fully or partially
resin-impregnated tape, tow or fiber. Fully or
partially resin-impregnated ‘filament bands’
include those coated with dry powder that tacks
upon heating.



"
"
1B002   Equipment for producing metal
alloys, metal alloy powder or alloyed
materials, 'specially designed' to avoid
contamination and 'specially designed' for
use in one of the processes specified in
1C002.c.2.

","[[""MT applies to entire entry"",""MT Column 1""],[""NPappliestofilament\rwindingmachinesdescribed\rin 1B101.a that are capable of\rwindingcylindricalrotors\rhavingadiameterbetween\r75 mm (3 in.) and 400 mm\r(16in.)andlengthsof600\rmm (24 in.) or greater\rANDtocoordinatingand\rprogrammingcontrolsand\rprecisionmandrelsforthese\rfilament winding machines"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $5000
GBS: N/A
CIV: N/A

",,"
List of Items Controlled








Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1B003  Tools, dies, molds or fixtures, for
'superplastic forming' or 'diffusion
bonding' titanium, aluminum or their alloys,
'specially designed' for the manufacture of
any of the following (see List of Items
Controlled).

","[[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $5000
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: For 'specially designed'
production equipment of systems,
sub-systems, and 'parts' and 'components'
controlled by 9A005 to 9A009, 9A011,
9A101, 9A105 to 9A109, 9A111, and 9A116
to 9A120 usable in 'missiles,' see 9B115.
Related Definitions: N/A
Items:


a.  Airframe or aerospace structures;


b.  'Aircraft' or aerospace engines; or










c. 'Specially designed' 'parts' and
'components' for structures specified by
1B003.a or for engines specified by 1B003.b.



"
"
1B018 Items on the Wassenaar Arrangement
Munitions List (see List of Items Controlled).

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: $3000 for 1B018.a for countries
WITHOUT an 'X' in RS Column 2
on the Country Chart contained in
Supplement No. 1 to part 738 of the
EAR;
$5000 for 1B018.b.
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  See ECCN 1B608.a, .b,
and .x for items that, immediately prior to
July 1, 2014, were classified under 1B018.a.
Related Definitions: N/A
Items:


a. [Reserved]


b. [Reserved]









"
"
1B101  Equipment, other than that
controlled by 1B001, for the 'production' of
structural composites, fibers, prepregs or
preforms, usable for rockets, missiles, or
unmanned aerial vehicles capable of achieving
a 'range' equal to or greater than 300 km and
